# Time-averaged data for fix hot1
# TimeStep f_Hot
377000 -211.564
378000 -212.85
379000 -213.117
380000 -212.85
381000 -214.574
382000 -215.858
383000 -216.485
384000 -216.553
385000 -217.206
386000 -217.63
387000 -217.617
388000 -219.99
389000 -220.023
390000 -218.687
391000 -219.988
392000 -219.198
393000 -220.849
394000 -221.26
395000 -221.757
396000 -220.322
397000 -220.809
398000 -221.719
399000 -221.559
400000 -220.982
401000 -222.04
402000 -222.435
403000 -222.795
404000 -224.643
405000 -226.289
406000 -226.978
407000 -226.307
408000 -227.248
409000 -228.766
410000 -229.288
411000 -230.356
412000 -231.989
413000 -233.63
414000 -233.879
415000 -235.415
416000 -236.599
417000 -237.102
418000 -238.473
419000 -237.804
420000 -240.789
421000 -240.849
422000 -240.667
423000 -240.561
424000 -240.083
425000 -241.538
426000 -241.989
427000 -241.721
428000 -243.364
429000 -243.059
430000 -244.211
431000 -245.798
432000 -246.501
433000 -246.716
434000 -246.34
435000 -246.63
436000 -248.437
437000 -248.58
438000 -249.622
439000 -250.099
440000 -250.42
441000 -250.83
442000 -253.014
443000 -253.444
444000 -254.418
445000 -255.142
446000 -255.871
447000 -256.567
448000 -257.166
449000 -257.325
450000 -259.386
451000 -259.763
452000 -259.288
453000 -259.071
454000 -258.73
455000 -258.916
456000 -259.47
457000 -259.707
458000 -260.785
459000 -260.379
460000 -261.39
461000 -262.28
462000 -263.436
463000 -262.642
464000 -263.993
465000 -263.984
466000 -264.66
467000 -265.369
468000 -267.4
469000 -267.758
470000 -266.083
471000 -267.108
472000 -266.608
473000 -266.845
474000 -267.934
475000 -269.126
476000 -269.992
477000 -269.931
478000 -272.775
479000 -273.133
480000 -272.475
481000 -272.638
482000 -273.149
483000 -272.997
484000 -274.169
485000 -273.758
486000 -273.385
487000 -275.632
488000 -275.282
489000 -276.244
490000 -275.557
491000 -276.854
492000 -277.266
493000 -277.061
494000 -277.485
495000 -277.819
496000 -276.747
497000 -277.03
498000 -278.802
499000 -279.83
500000 -280.13
501000 -280.217
502000 -280.527
503000 -280.759
504000 -280.213
505000 -281.483
506000 -281.91
507000 -282.576
508000 -283.126
509000 -285.049
510000 -286.384
511000 -286.059
512000 -285.928
513000 -285.236
514000 -288.38
515000 -290.193
516000 -289.996
517000 -290.53
518000 -290.285
519000 -292.236
520000 -293.732
521000 -295.579
522000 -295.938
523000 -295.797
524000 -296.375
525000 -296.351
526000 -298.676
527000 -298.604
528000 -299.095
529000 -298.816
530000 -298.689
531000 -297.648
532000 -299.282
533000 -299.352
534000 -300.53
535000 -300.679
536000 -302.031
537000 -302.369
538000 -303.115
539000 -304.026
540000 -304.485
541000 -306.212
542000 -305.791
543000 -307.818
544000 -307.16
545000 -307.239
546000 -307.938
547000 -309.17
548000 -310.425
549000 -309.049
550000 -309.482
551000 -311.651
552000 -312.196
553000 -313.538
554000 -314.614
555000 -315.941
556000 -316.278
557000 -316.049
558000 -317.323
559000 -318.972
560000 -318.254
561000 -318.732
562000 -319.394
563000 -318.404
564000 -319.003
565000 -320.834
566000 -321.709
567000 -321.547
568000 -323.253
569000 -323.564
570000 -324.999
571000 -323.988
572000 -324.256
573000 -325.609
574000 -325.811
575000 -325.467
576000 -324.868
577000 -324.742
578000 -326.466
579000 -327.487
580000 -329.165
581000 -327.742
582000 -328.493
583000 -329.546
584000 -330.317
585000 -331.931
586000 -331.487
587000 -332.002
588000 -331.159
589000 -330.879
590000 -331.491
591000 -332.502
592000 -332.734
593000 -333.326
594000 -332.369
595000 -332.958
596000 -333.342
597000 -334.013
598000 -333.979
599000 -335.096
600000 -335.035
601000 -335.173
