# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7175
  1 2.85857 0 0
  2 5.85857 290.2 279.593
  3 8.85857 563.936 282.196
  4 11.8586 439.887 285.992
  5 14.8586 370.977 286.845
  6 17.8586 514.867 287.586
  7 20.8586 345.756 288.104
  8 23.8586 389.377 288.19
  9 26.8586 464.21 288.662
  10 29.8586 240.23 289.47
  11 32.8586 420.56 289.562
  12 35.8586 401.587 290.007
  13 38.8586 213.59 290.201
  14 41.8586 384.824 291.019
  15 44.8586 318.176 291.811
  16 47.8586 221.824 291.85
  17 50.8586 334.994 292.796
  18 53.8586 227.733 294.208
  19 56.8586 237.272 295.173
  20 59.8586 284.925 297.078
  21 62.8586 146.423 301.869
  22 65.8586 243.652 311.773
  23 68.8586 120 318.382
  24 71.8586 0 0
10000000 24 7175
  1 2.85857 0 0
  2 5.85857 290.2 279.626
  3 8.85857 563.932 282.377
  4 11.8586 439.848 286.104
  5 14.8586 371.02 287.155
  6 17.8586 514.869 287.472
  7 20.8586 345.655 287.929
  8 23.8586 389.475 288.309
  9 26.8586 464.213 288.911
  10 29.8586 240.294 289.18
  11 32.8586 420.493 289.779
  12 35.8586 401.597 290.239
  13 38.8586 213.579 290.14
  14 41.8586 384.824 290.816
  15 44.8586 318.103 291.782
  16 47.8586 221.898 292.191
  17 50.8586 334.994 292.921
  18 53.8586 227.661 293.916
  19 56.8586 237.344 295.16
  20 59.8586 284.925 297.327
  21 62.8586 146.431 301.619
  22 65.8586 243.644 312.075
  23 68.8586 120 318.368
  24 71.8586 0 0
