# Time-averaged data for fix 4
# TimeStep f_cold f_hot
231000 100.69 -102.835
232000 101.175 -103.008
233000 102.23 -104.341
234000 102.606 -104.986
235000 102.556 -106.84
236000 103.953 -106.574
237000 104.837 -108.434
238000 105.335 -107.758
239000 105.899 -108.779
240000 107.332 -109.324
241000 107.447 -108.292
242000 106.189 -109.468
243000 105.472 -109.642
244000 106.111 -110.973
245000 107.204 -109.638
246000 106.998 -112.686
247000 108.281 -112.446
248000 108.338 -112.094
249000 110.068 -113.992
250000 109.748 -112.557
251000 110.231 -114.478
252000 110.23 -114.89
253000 109.435 -115.001
254000 109.241 -115.871
255000 111.581 -115.567
256000 110.613 -117.495
257000 110.754 -117.174
258000 112.064 -118.257
259000 113.397 -117.789
260000 113.306 -118.183
261000 114.708 -120.22
262000 114.794 -120.063
263000 115.596 -120.594
264000 115.285 -121.466
265000 116.436 -121.779
266000 116.401 -121.028
267000 117.474 -120.49
268000 118.516 -120.969
269000 117.718 -120.919
270000 118.324 -122.828
271000 118.352 -124.004
272000 119.986 -122.995
273000 119.538 -122.16
274000 119.36 -123.731
275000 118.91 -123.188
276000 119.077 -125.145
277000 120.176 -125.997
278000 120.105 -126.564
279000 120.024 -125.605
280000 121.355 -126.794
281000 120.739 -127.487
282000 121.078 -127.919
283000 120.393 -127.288
284000 122.199 -128.241
285000 122.528 -129.328
286000 123.888 -130.179
287000 124.428 -130.278
288000 126.181 -131.537
289000 125.819 -132.308
290000 127.187 -132.715
291000 126.461 -132.771
292000 126.624 -133.059
293000 126.999 -133.592
294000 127.757 -134.838
295000 129.803 -135.12
296000 131.394 -134.607
297000 129.567 -135.034
298000 129.678 -136.082
299000 131.375 -135.264
300000 130.651 -136.07
301000 131.263 -137.806
302000 131.021 -137.121
303000 130.806 -137.631
304000 131.503 -137.932
305000 132.258 -137.762
306000 132.15 -137.556
307000 132.658 -138.574
308000 133.877 -138.928
309000 133.926 -138.191
310000 134.974 -139.491
311000 135.22 -140.643
312000 134.753 -140.725
313000 136.15 -140.866
314000 135.972 -142.139
315000 136.263 -142.005
316000 136.97 -142.284
317000 137.799 -141.32
318000 137.853 -142.687
319000 138.71 -142.859
320000 139.856 -144.771
321000 139.132 -143.718
322000 139.774 -145.397
323000 140.602 -144.241
324000 141.875 -145.355
325000 141.864 -146.167
326000 143.211 -148.225
327000 143.743 -147.18
328000 144.354 -147.135
329000 143.662 -148.113
330000 143.172 -150.071
331000 141.972 -150.453
332000 144.771 -150.049
333000 144.431 -150.783
334000 145.249 -150.207
335000 146.486 -151.242
336000 146.581 -151.92
337000 146.885 -151.54
338000 148.176 -151.952
339000 147.59 -152.893
340000 148.549 -153.43
341000 149.953 -154.431
342000 150.119 -155.046
343000 150.254 -155.997
344000 150.421 -156.505
345000 151.77 -155.061
346000 150.75 -156.675
347000 150.982 -155.892
348000 151.322 -156.602
349000 153.175 -156.919
350000 153.169 -157.917
351000 152.937 -159.283
352000 154.059 -159.631
353000 154.521 -161.326
354000 156.08 -160.327
355000 153.661 -161.045
356000 154.197 -162.991
357000 154.356 -163.051
358000 153.802 -161.592
359000 153.721 -163.797
360000 154.923 -164.671
361000 155.908 -163.036
362000 155.576 -164.319
363000 156.253 -164.807
364000 157.348 -165.073
365000 156.729 -165.493
366000 158.877 -166.163
367000 159.479 -166.253
368000 161.476 -167.895
369000 161.004 -166.718
370000 161.894 -167.423
371000 163.151 -168.106
372000 164.085 -169.21
373000 164.625 -168.748
374000 164.217 -169.611
375000 163.856 -169.202
376000 164.94 -169.578
377000 164.388 -168.174
378000 165.711 -169.311
379000 166.552 -169.786
380000 167.374 -170.367
381000 167.381 -170.283
382000 168.356 -172.45
383000 167.985 -173.327
384000 168.046 -172.583
385000 167.458 -173.535
386000 167.964 -172.454
387000 167.825 -172.139
388000 168.357 -172.119
389000 168.284 -173.122
390000 169.578 -174.055
391000 170.034 -173.727
392000 171.741 -174.283
393000 170.985 -175.093
394000 170.509 -175.893
395000 172.459 -177.039
396000 172.949 -175.82
397000 172.554 -175.076
398000 172.579 -176.681
399000 174.323 -178.718
400000 176.124 -177.339
401000 178.489 -177.611
402000 177.631 -178.735
403000 176.786 -179.569
404000 177.627 -179.213
405000 178.324 -180.746
406000 179.519 -181.223
407000 179.188 -181.521
408000 177.812 -181.011
409000 177.847 -182.464
410000 181.017 -181.886
411000 181.849 -182.122
412000 181.545 -182.212
413000 182.773 -182.5
414000 183.626 -182.609
415000 184.125 -183.239
416000 184.986 -182.424
417000 185.677 -183.524
418000 185.352 -184.288
419000 185.4 -183.017
420000 185.685 -183.33
421000 187.513 -184.633
422000 187.395 -184.089
423000 187.909 -186.189
424000 187.985 -185.248
425000 188.558 -186.174
426000 189.805 -187.298
427000 189.273 -185.856
428000 189.889 -186.676
429000 190.516 -188.388
430000 192.146 -187.601
431000 192.761 -189.147
432000 192.824 -190.005
433000 193.552 -189.645
434000 192.997 -191.904
435000 193.919 -192.511
436000 194.673 -192.531
437000 193.611 -193.233
438000 192.847 -193.446
439000 193.393 -194.146
440000 195.267 -193.643
441000 194.586 -194.651
442000 195.547 -194.677
443000 196.682 -194.873
444000 198.195 -195.486
445000 197.805 -196.983
446000 198.871 -196.046
447000 199.019 -195.905
448000 199.336 -197.414
449000 201.218 -196.733
450000 203.254 -197.514
451000 203.441 -198.247
452000 204.471 -198.13
453000 205.736 -198.668
454000 205.691 -200.081
455000 205.225 -201.473
456000 206.001 -201.877
457000 205.719 -203.161
458000 209.152 -204.826
459000 208.799 -204.716
460000 209.754 -204.483
461000 208.971 -203.757
462000 208.045 -203.716
463000 208.977 -204.064
464000 209 -206.517
465000 209.888 -205.968
466000 209.463 -205.547
467000 208.738 -206.384
468000 209.45 -205.808
469000 208.462 -207.202
470000 208.556 -206.378
471000 210.196 -207.163
472000 209.999 -206.598
473000 209.148 -206.77
474000 208.99 -207.073
475000 208.715 -207.447
476000 209.15 -209.425
477000 210.258 -209.669
478000 210.599 -210.61
479000 211.235 -209.622
480000 211.5 -211.411
481000 211.912 -211.89
482000 212.048 -211.895
483000 211.611 -213.766
484000 212.716 -212.002
