# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 -0.977411 -0.520491
2000 -1.12445 -1.85187
3000 -0.0737634 -1.92274
4000 -0.297881 -0.307011
5000 -0.473045 0.119498
6000 -1.24958 0.32692
7000 0.167585 -1.26713
8000 0.819441 -0.299356
9000 0.623022 -1.13323
10000 1.87449 -0.62363
11000 1.26257 -1.22608
12000 1.97599 -0.391318
13000 2.53903 -1.41023
14000 3.26799 -1.40117
15000 4.32693 -1.70229
16000 3.72906 -1.9503
17000 4.11976 -2.59833
18000 4.64725 -2.89038
19000 5.74229 -2.28501
20000 5.73447 -3.26684
21000 5.72426 -5.1087
22000 5.79907 -5.29946
23000 5.64284 -5.89852
24000 6.96975 -5.77414
25000 5.73538 -5.5832
26000 7.22985 -6.10819
27000 8.00457 -6.70872
28000 8.91964 -6.59289
29000 8.52372 -7.56029
30000 8.99861 -6.94916
31000 9.19989 -8.52151
32000 9.48511 -8.36789
33000 10.342 -9.42611
34000 9.6592 -11.0673
35000 10.541 -10.0437
36000 11.1208 -10.5748
37000 12.8164 -9.27881
38000 10.9834 -10.8243
39000 11.4613 -10.4421
40000 11.6489 -10.9417
41000 11.5862 -12.057
42000 10.7086 -12.5705
43000 11.7472 -13.4669
44000 12.9486 -13.1467
45000 13.4344 -13.6373
46000 13.3684 -14.2971
47000 13.7893 -16.0473
48000 14.5833 -15.8139
49000 14.4775 -16.7685
50000 14.0651 -16.9201
51000 14.3026 -16.7603
52000 14.7658 -17.2794
53000 14.5711 -17.9609
54000 14.4445 -18.292
55000 14.5151 -19.0336
56000 15.0203 -20.1658
57000 15.0184 -20.9199
58000 15.4274 -21.3848
59000 15.6559 -22.5149
60000 16.4559 -21.6751
61000 16.6381 -22.8517
62000 16.7452 -23.674
63000 16.5296 -24.3328
64000 17.5823 -24.3064
65000 18.3966 -24.4317
66000 20.442 -25.2035
67000 20.2489 -25.0136
68000 20.5955 -25.5746
69000 19.8835 -25.3514
70000 21.0289 -24.781
71000 21.1783 -26.1152
72000 20.8412 -27.1517
73000 23.2887 -27.6424
74000 25.1221 -27.5799
75000 25.0295 -27.2147
76000 24.4387 -27.7256
77000 24.2662 -28.5961
78000 25.1439 -26.9009
79000 24.6822 -28.5607
80000 25.5508 -28.5623
81000 26.6858 -28.4689
82000 27.5685 -27.8658
83000 27.7708 -28.7829
84000 27.5945 -28.9326
85000 28.0341 -29.3467
86000 29.4225 -28.6051
87000 31.6286 -30.0568
88000 31.4646 -30.2251
89000 29.9576 -31.6313
90000 30.4562 -32.3757
91000 30.9904 -31.5078
92000 31.8221 -31.1521
93000 32.4532 -31.8728
94000 32.4151 -34.1479
95000 32.8795 -32.5229
96000 34.5324 -34.2531
97000 35.9792 -35.1373
98000 36.9664 -34.6939
99000 37.5177 -33.6646
100000 37.0966 -34.2456
101000 37.5349 -36.1821
