# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 4.2834 0.909828
2000 5.92931 0.666189
3000 6.41762 1.00948
4000 7.32312 -2.1262
5000 7.07599 -2.83768
6000 5.52773 -3.08905
7000 6.64852 -2.44902
8000 8.49998 -3.64804
9000 8.33882 -5.57297
10000 8.65019 -6.50125
11000 10.6694 -8.95154
12000 11.118 -8.71686
13000 11.045 -8.31168
14000 12.8149 -8.19907
15000 12.2388 -7.82539
16000 12.7192 -7.90051
17000 12.6855 -8.92744
18000 15.0417 -12.5245
19000 17.2205 -13.2581
20000 18.1955 -14.0796
21000 17.3415 -13.1822
22000 19.7391 -13.4281
23000 21.3316 -15.8116
24000 20.2702 -14.8324
25000 20.6008 -15.8284
26000 23.1915 -14.9469
27000 23.9908 -17.6394
28000 23.8776 -18.9151
29000 24.2031 -19.9348
30000 23.6146 -19.4344
31000 25.0414 -18.6804
32000 25.3187 -21.6564
33000 26.0373 -22.161
34000 27.9093 -21.6618
35000 29.0143 -23.6439
36000 29.2292 -23.0304
37000 30.3607 -25.6221
38000 31.3568 -25.1094
39000 31.7356 -24.5131
40000 32.0419 -26.1809
41000 32.5614 -26.105
42000 32.7743 -24.8103
43000 34.0781 -26.3112
44000 34.8888 -28.6087
45000 34.2303 -28.6263
46000 35.3284 -29.7626
47000 35.0913 -30.3252
48000 35.6179 -31.1318
49000 36.7101 -30.9862
50000 35.8781 -33.1371
51000 37.1172 -34.1836
52000 37.5661 -33.866
53000 38.2343 -35.1215
54000 36.8778 -35.8109
55000 36.293 -35.1762
56000 35.8081 -36.1421
57000 38.9615 -36.9387
58000 39.2144 -37.4148
59000 40.9784 -37.5296
60000 38.1393 -41.2226
61000 37.7675 -42.7679
62000 40.6282 -42.8769
63000 40.0874 -43.9032
64000 40.6187 -45.121
65000 43.795 -47.6729
66000 42.288 -46.8322
67000 44.7395 -47.5093
68000 45.1924 -49.8257
69000 47.6879 -49.2088
70000 49.292 -50.7312
71000 50.6371 -51.1386
72000 53.095 -53.6854
73000 52.5794 -55.3919
74000 52.7485 -56.5492
75000 53.8826 -57.0288
76000 56.1128 -59.4389
77000 57.0524 -59.8262
78000 56.5488 -59.5125
79000 57.7532 -60.8476
80000 59.3055 -63.8322
81000 59.8057 -63.7215
82000 59.4632 -63.5303
83000 60.676 -64.4342
84000 60.9305 -65.5223
85000 62.1352 -67.5508
86000 61.3337 -66.7477
87000 62.7438 -69.0737
88000 61.6007 -68.461
89000 64.7334 -68.1857
90000 65.1174 -71.336
91000 65.4265 -70.1486
92000 66.6584 -69.3898
93000 67.6608 -70.727
94000 69.3243 -72.6837
95000 70.0322 -71.8614
96000 70.0081 -71.6073
97000 72.0032 -72.9267
98000 72.1221 -71.6044
99000 73.327 -73.2453
100000 73.9348 -75.1856
101000 74.4381 -75.1542
102000 76.1939 -75.3259
103000 77.6456 -77.2348
104000 78.051 -77.5667
105000 78.5719 -79.6388
106000 80.289 -81.9528
107000 80.3155 -81.5509
108000 81.3095 -82.2001
109000 82.273 -82.8172
110000 81.957 -84.7652
111000 81.2886 -85.9964
112000 82.9641 -83.5514
113000 84.6045 -85.946
114000 84.6116 -87.7257
115000 84.8712 -89.0511
116000 85.7446 -88.183
117000 86.9692 -88.6803
118000 87.8876 -87.8457
119000 88.5378 -89.8714
120000 89.0051 -89.6926
121000 90.3128 -91.1054
122000 89.7532 -92.9694
123000 89.3306 -94.1181
124000 89.9457 -93.8895
125000 88.8539 -97.1591
126000 89.6197 -97.7115
127000 90.508 -100.083
128000 91.9249 -98.3258
129000 92.5311 -99.2942
130000 91.5589 -100.29
131000 91.1721 -101.198
132000 91.8003 -101.168
133000 93.3727 -102.061
134000 95.6122 -102.385
135000 95.7358 -103.525
136000 97.1581 -103.672
137000 98.4522 -103.527
138000 98.5903 -103.339
139000 100.975 -103.592
140000 101.344 -104.604
141000 102.57 -105.851
142000 104.628 -105.851
143000 106.48 -108.441
144000 105.172 -109.292
145000 106.71 -111.72
146000 107.252 -110.441
147000 107.441 -113.679
148000 109.563 -113.782
149000 109.829 -113.76
150000 111.137 -115.197
151000 109.634 -116.107
152000 110.995 -116.432
153000 114.237 -116.304
154000 113.271 -118.028
155000 113.909 -120.087
156000 113.887 -121.749
157000 114.328 -120.298
158000 115.478 -124.292
159000 116.29 -124.432
160000 117.97 -125.05
161000 118.124 -125.265
162000 119.767 -127.34
163000 119.168 -129.515
164000 120.482 -128.212
165000 121.086 -128.753
166000 120.586 -130.258
167000 120.033 -130.489
168000 121.697 -130.435
169000 123.033 -132.35
170000 123.081 -132.299
171000 122.988 -133.119
172000 124.383 -133.062
173000 124.094 -132.743
174000 125.18 -134.796
175000 127.611 -134.954
176000 125.394 -136.217
177000 126.643 -136.176
178000 128.603 -136.884
179000 129.936 -138.238
180000 131.911 -139.44
181000 133.637 -139.577
182000 134.738 -141.878
183000 134.838 -140.735
184000 134.745 -141.345
185000 135.403 -144.196
186000 136.323 -143.65
187000 137.115 -143.437
188000 139.047 -144.937
189000 138.552 -144.684
190000 141.213 -145.645
191000 140.298 -146.853
192000 140.987 -148.286
193000 141.953 -148.874
194000 142.341 -148.866
195000 143.686 -149.603
196000 143.457 -149.728
197000 145.124 -149.265
198000 147.526 -149.828
199000 147.96 -150.796
200000 148.775 -151.682
201000 148.036 -151.59
202000 150.135 -150.899
203000 151.043 -151.714
204000 151.409 -153.349
205000 152.517 -155.296
206000 151.109 -155.339
207000 150.9 -154.833
208000 152.079 -156.151
209000 151.869 -157.98
210000 152.932 -157.968
211000 153.535 -158.955
212000 153.043 -161.638
213000 156.243 -160.99
214000 155.871 -161.542
215000 156.083 -160.912
216000 157.261 -162.747
217000 157.709 -163.503
218000 158.76 -162.814
219000 159.976 -163.646
220000 161.285 -164.893
221000 162.641 -164.89
222000 164.131 -167.472
223000 164.545 -166.983
224000 164.259 -168.296
225000 165.682 -168.082
226000 167.025 -168.191
227000 168.287 -166.23
228000 170.095 -169.189
229000 169.265 -169.708
230000 171.554 -169.349
231000 171.406 -171.318
232000 171.525 -171.649
233000 172.97 -170.626
234000 174.031 -173.698
235000 174.786 -174.549
236000 175.447 -175.302
237000 174.562 -176.551
238000 176.249 -176.32
239000 177.011 -175.505
240000 176.417 -177.906
241000 178.358 -180.211
242000 178.869 -178.446
243000 181.963 -180.307
244000 183.309 -181.43
245000 183.334 -181.58
246000 184.063 -181.674
247000 182.853 -182.152
248000 183.485 -184.505
249000 185.214 -183.082
250000 186.454 -184.544
251000 186.184 -185.505
252000 185.609 -186.804
253000 185.853 -187.791
254000 188.295 -188.45
255000 188.223 -189.25
256000 189.965 -189.318
257000 189.442 -190.629
258000 189.86 -191.124
259000 189.851 -192.536
260000 189.813 -193.468
261000 190.273 -193.324
262000 192.496 -193.454
263000 192.427 -192.958
264000 193.208 -195.928
265000 194.537 -196.934
266000 195.802 -198.024
267000 196.754 -198.042
268000 196.745 -197.856
269000 196.804 -199.949
270000 198.51 -200.517
271000 199.847 -201.483
272000 200.222 -202.304
273000 201.799 -201.971
274000 200.739 -202.14
275000 202.415 -204.957
276000 202.866 -205.982
277000 203.297 -205.579
278000 204.607 -207.017
279000 202.652 -208.051
280000 205.487 -206.774
281000 206.031 -204.022
282000 204.432 -206.832
283000 207.104 -205.161
284000 207.255 -207.19
285000 209.121 -208.295
286000 208.726 -207.589
287000 210.438 -208.746
288000 210.687 -210.07
289000 212.713 -210.222
290000 211.244 -212.123
291000 213.096 -215.698
292000 213.967 -216.141
293000 212.289 -217.074
294000 212.733 -217.699
295000 214.803 -219.079
296000 213.224 -218.993
297000 214.919 -218.52
298000 216.194 -220.398
299000 216.869 -221.634
300000 215.998 -222.244
301000 218.456 -221.16
302000 218.767 -224.272
303000 220.764 -223.121
304000 220.101 -224.414
305000 223.002 -228.186
306000 222.811 -228.213
307000 224.205 -226.38
308000 224.525 -228.682
309000 226.349 -228.469
310000 224.635 -229.372
311000 226.028 -228.77
312000 225.816 -229.623
313000 228.596 -230.265
314000 230.654 -233.184
315000 229.939 -233.978
316000 232.147 -232.557
317000 233.405 -233.722
318000 236.855 -235.516
319000 237.126 -235.247
320000 236.777 -235.587
321000 237.981 -237.884
322000 239.531 -239.113
323000 240.623 -240.012
324000 240.247 -240.204
325000 240.355 -242.966
326000 240.151 -241.976
327000 240.88 -243.658
328000 242.784 -244.821
329000 244.465 -245.762
330000 243.895 -245.674
331000 244.663 -246.854
332000 245.276 -247.001
333000 246.785 -248.325
334000 246.525 -248.686
335000 246.7 -249.039
336000 249.684 -251.318
337000 248.971 -250.486
338000 251.411 -253.172
339000 252.409 -255.053
340000 252.766 -255.103
341000 252.918 -254.341
342000 254.715 -257.856
343000 256.795 -256.073
344000 255.947 -259.042
345000 257.533 -258.892
346000 259.423 -259.478
