# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 2.78662 2.65423
2000 0.870797 2.38424
3000 1.7396 -0.817112
4000 0.224143 0.476991
5000 -0.496481 3.71365
6000 0.432168 2.72892
7000 -0.21478 -0.421774
8000 -0.444561 1.88726
9000 0.572102 2.15916
10000 -1.68987 0.146665
11000 -0.504273 -1.39843
12000 3.46262 1.00049
13000 4.40358 3.05759
14000 4.01184 -0.0232005
15000 7.4533 0.397327
16000 7.27858 -0.891794
17000 9.88266 1.12511
18000 11.1586 -2.73734
19000 13.0722 -5.25168
20000 13.9292 -4.17121
21000 14.2215 -4.76278
22000 14.7771 -6.37992
23000 14.7622 -5.49568
24000 17.0188 -7.72438
25000 17.3462 -4.7576
26000 17.2101 -3.90762
27000 15.2211 -4.17329
28000 16.8026 -6.65118
29000 14.7459 -6.51141
30000 17.4244 -8.23079
31000 17.4133 -8.3915
32000 17.7655 -10.1135
33000 18.4469 -9.88411
34000 17.9607 -6.77336
35000 16.6783 -8.38864
36000 15.3454 -8.25602
37000 16.5729 -6.77764
38000 18.4566 -9.33607
39000 17.5226 -9.25166
40000 19.9364 -9.06385
41000 22.9428 -11.4047
42000 22.7227 -10.5183
43000 24.6533 -13.5498
44000 21.3983 -12.7719
45000 22.7195 -13.6931
46000 23.0606 -15.9845
47000 24.7177 -15.8041
48000 24.0541 -13.8141
49000 27.2504 -16.1484
50000 28.775 -15.007
51000 27.2126 -13.5337
52000 27.7711 -15.7394
53000 30.5322 -17.0507
54000 31.7169 -17.1987
55000 32.9917 -20.4863
56000 32.8387 -20.2105
57000 29.4799 -19.1254
58000 31.1454 -20.6411
59000 31.4072 -21.695
60000 32.8254 -19.0631
61000 32.8615 -20.1482
62000 35.3982 -22.8433
63000 35.1592 -25.5565
64000 35.3682 -26.6734
65000 34.1364 -27.0341
66000 34.129 -25.4504
67000 36.0682 -27.4712
68000 36.5468 -26.0445
69000 36.0847 -30.0494
70000 37.0889 -30.2014
71000 37.8886 -31.4723
72000 34.5333 -33.1039
73000 37.6467 -32.9932
74000 38.3719 -32.66
75000 39.3574 -31.4244
76000 37.9143 -30.7386
77000 41.2854 -34.3045
78000 43.9031 -36.4825
79000 44.0913 -37.6452
80000 44.4316 -38.7528
81000 42.1243 -39.4994
82000 44.7063 -40.7092
83000 42.7036 -42.8137
84000 42.0811 -44.622
85000 43.9062 -43.3187
86000 45.9664 -42.1487
87000 48.3389 -41.5624
88000 50.5758 -42.5111
89000 49.5424 -44.4246
90000 51.8932 -44.5994
91000 50.7877 -46.8361
92000 53.1123 -48.0326
93000 53.8366 -47.6821
94000 54.2613 -46.7106
95000 57.4694 -48.6756
96000 57.2492 -50.2535
97000 56.6667 -50.2725
98000 57.5274 -50.8659
99000 61.4205 -52.6546
100000 58.8568 -51.4578
101000 60.2033 -53.5951
102000 58.814 -56.2879
103000 61.8572 -55.6923
104000 61.4308 -57.1571
105000 60.8219 -58.9325
106000 63.0769 -56.2444
107000 62.9637 -57.9328
108000 62.8842 -57.4413
109000 65.0266 -60.3783
110000 65.5552 -58.0251
111000 66.9354 -58.7875
112000 68.9259 -58.8133
113000 65.0931 -57.6128
114000 66.6409 -60.11
115000 66.7631 -61.0257
116000 69.9662 -59.9044
117000 72.2814 -60.5906
118000 72.9493 -59.9803
119000 73.7454 -62.5578
120000 73.9274 -63.6756
121000 73.9323 -65.5736
122000 75.9018 -64.8156
123000 75.6074 -64.8164
124000 77.6536 -65.0785
125000 79.1939 -69.7703
126000 82.3668 -72.1867
127000 81.2854 -68.4451
128000 86.3136 -72.0179
129000 87.397 -74.55
130000 87.3261 -71.7433
131000 89.9666 -72.084
132000 85.7515 -70.3681
133000 86.2994 -74.4718
134000 89.7588 -75.6371
135000 88.1519 -75.6152
136000 88.2381 -75.8896
137000 89.4448 -78.2626
138000 88.6849 -78.1266
139000 90.0337 -80.0151
140000 90.4945 -79.7883
141000 93.6867 -79.0154
142000 91.7949 -80.6252
143000 92.2931 -80.4293
144000 96.6425 -79.9745
145000 98.0719 -82.6044
146000 99.4106 -81.1523
147000 100.461 -84.098
148000 100.387 -82.3184
