# Chunk-averaged data for fix T_PROFILEZ_30 and group main
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
5000000 24 7175.000000000002
  1 2.85857 7.4288 341.033
  2 5.85857 368.842 340.677
  3 8.85857 453.681 337.422
  4 11.8586 442.67 335.024
  5 14.8586 440.164 333.575
  6 17.8586 423.088 332.828
  7 20.8586 410.138 332.649
  8 23.8586 392.997 331.761
  9 26.8586 370.797 331.81
  10 29.8586 384.699 331.303
  11 32.8586 346.601 330.971
  12 35.8586 330.567 330.394
  13 38.8586 346.508 329.934
  14 41.8586 301.798 329.446
  15 44.8586 301.672 329.236
  16 47.8586 298.405 328.605
  17 50.8586 256.646 327.31
  18 53.8586 271.959 327.199
  19 56.8586 250.567 325.969
  20 59.8586 222.307 324.244
  21 62.8586 229.162 320.334
  22 65.8586 206.816 309.337
  23 68.8586 117.486 301.518
  24 71.8586 0 0
10000000 24 7175.000000000001
  1 2.85857 7.41296 340.697
  2 5.85857 368.844 340.7
  3 8.85857 453.687 337.496
  4 11.8586 442.674 335.295
  5 14.8586 440.179 333.929
  6 17.8586 423.062 333.699
  7 20.8586 410.163 333.019
  8 23.8586 392.987 332.859
  9 26.8586 370.762 332.625
  10 29.8586 384.725 331.813
  11 32.8586 346.614 331.029
  12 35.8586 330.562 330.9
  13 38.8586 346.498 330.547
  14 41.8586 301.811 329.742
  15 44.8586 301.672 329.446
  16 47.8586 298.408 328.776
  17 50.8586 256.628 327.805
  18 53.8586 271.966 327.847
  19 56.8586 250.576 326.405
  20 59.8586 222.306 324.625
  21 62.8586 229.153 321.016
  22 65.8586 206.805 309.407
  23 68.8586 117.506 301.513
  24 71.8586 0 0
