# Time-averaged data for fix 4
# TimeStep f_cold f_hot
244000 189.457 -174.881
245000 192.862 -176.201
246000 190.773 -176.573
247000 193.263 -177.658
248000 193.731 -177.483
249000 194.138 -178.796
250000 193.828 -176.792
251000 196.977 -178.689
252000 196.549 -180.215
253000 197.462 -177.81
254000 195.759 -181.447
255000 196.413 -182.372
256000 198.74 -179.505
257000 201.43 -178.196
258000 203.458 -179.915
259000 205.468 -180.396
260000 204.269 -182.01
261000 205.581 -183.698
262000 207.319 -181.646
263000 205.632 -182.011
264000 206.089 -185.009
265000 208.373 -184.087
266000 208.602 -185.321
267000 208.863 -182.709
268000 206.595 -188.115
269000 210.889 -188.594
270000 210.15 -190.279
271000 211.857 -188.677
272000 212.26 -190.242
273000 212.415 -189.317
274000 214.364 -191.221
275000 213.703 -190.713
276000 214.434 -192.538
277000 215.154 -191.908
278000 216.597 -193.609
279000 215.933 -193.795
280000 216.902 -196.405
281000 214.57 -194.16
282000 216.419 -195.291
283000 214.419 -195.447
284000 214.488 -195.145
285000 216.114 -197.551
286000 216.928 -201.652
287000 219.082 -201.782
288000 219.499 -199.983
289000 222.58 -197.931
290000 220.964 -198.845
291000 221.25 -201.002
292000 223.685 -203.033
293000 221.451 -200.233
294000 223.421 -202.526
295000 223.515 -203.031
296000 223.572 -205.839
297000 224.718 -204.597
298000 225.225 -206.453
299000 224.831 -206.101
300000 226.258 -204.946
301000 226.901 -208.72
302000 226.366 -210.612
303000 227.969 -210.919
304000 227.4 -213.408
305000 226.092 -214.428
306000 227.958 -213.042
307000 227.351 -214.633
308000 227.801 -215.542
309000 230.012 -216.72
310000 229.014 -216.97
311000 228.682 -219.792
312000 230.194 -219.3
313000 232.403 -221.438
314000 233.084 -220.712
315000 231.444 -219.159
316000 232.725 -220.28
317000 231.69 -220.688
318000 233.218 -222.932
319000 234.281 -219.356
320000 234.826 -223.784
321000 234.157 -222.335
322000 233.645 -224.549
323000 236.026 -223.8
324000 233.402 -226.718
325000 235.324 -226.701
326000 236.139 -226.928
327000 235.88 -229.023
328000 237.723 -230.705
329000 239.342 -232.744
330000 240.482 -232.863
331000 240.417 -236.703
332000 243.578 -233.549
333000 245.064 -234.004
334000 246.061 -237.581
335000 244.679 -236.856
336000 243.641 -239.667
337000 244.74 -239.95
338000 245.504 -238.473
339000 246.025 -239.22
340000 246.981 -243.033
341000 246.746 -240.254
342000 247.7 -241.496
343000 247.38 -241.886
344000 247.997 -245.142
345000 253.345 -245.238
346000 252.395 -244.584
347000 254.245 -242.905
348000 255.321 -245.175
349000 254.91 -246.869
350000 257.315 -248.151
351000 257.764 -250.256
352000 260.051 -249.958
353000 260.416 -248.87
354000 259.488 -249.403
355000 260.501 -251.003
356000 260.218 -250.225
357000 262.277 -249.458
358000 264.555 -252.708
359000 266.264 -255.195
360000 267.199 -253.33
361000 270.778 -254.718
362000 269.595 -254.412
363000 271.533 -255.129
364000 273.877 -258.798
365000 272.175 -258.158
366000 275.277 -261.231
367000 273.181 -259.471
368000 273.549 -263.263
369000 275.687 -263.505
370000 274.467 -265.638
371000 274.012 -264.861
372000 276.6 -267.112
373000 277.854 -265.459
374000 278.767 -266.929
375000 278.071 -272.025
376000 280.73 -269.714
377000 282.353 -271.338
378000 281.867 -271.145
379000 281.872 -271.908
380000 281.24 -274.432
381000 283.627 -271.682
382000 283.791 -275.517
383000 282.479 -275.541
384000 282.947 -276.874
385000 285.855 -280.861
386000 287.315 -278.298
387000 288.052 -280.722
388000 288.5 -281.944
389000 290.749 -281.948
390000 289.778 -280.733
391000 289.36 -280.407
392000 290.018 -281.632
393000 292.098 -283.058
394000 290.848 -282.194
395000 292.834 -284.593
396000 293.816 -286.103
397000 293.985 -283.596
398000 294.438 -285.005
399000 295.667 -284.199
400000 293.755 -284.999
401000 295.732 -284.326
402000 297.822 -284.554
403000 298.032 -283.353
404000 298.435 -285.353
405000 298.433 -285.065
406000 300.904 -286.806
407000 301.609 -286.135
408000 302.539 -289.175
409000 303.039 -289.478
410000 300.754 -288.423
411000 301.903 -290.963
412000 303.925 -288.423
413000 304.586 -287.614
414000 304.552 -287.886
415000 303.794 -289.273
416000 301.819 -287.602
417000 304.251 -288.038
418000 306.627 -290.223
419000 308.05 -289.559
420000 309.066 -290.216
421000 307.209 -291.142
422000 309.274 -293.357
423000 311.035 -294.601
424000 311.226 -293.585
425000 313.395 -295.059
426000 313.183 -294.782
427000 315.996 -294.182
428000 313.126 -295.549
429000 315.575 -297.677
430000 316.28 -298.764
431000 313.535 -298.712
432000 312.454 -298.161
433000 312.861 -299.23
434000 313.858 -302.135
435000 316.275 -300.444
436000 318.649 -302.829
437000 319.824 -302.585
438000 320.75 -303.78
439000 323.685 -305.364
440000 323.468 -309.027
441000 326.405 -308.727
442000 326.525 -309.105
443000 323.493 -310.971
444000 324.678 -310.863
445000 324.041 -312.613
446000 324.663 -312.866
447000 325.994 -313.839
448000 326.407 -314.397
449000 328.344 -314.711
450000 328.219 -314.269
451000 329.866 -313.556
452000 327.114 -314.65
453000 330.634 -314.54
454000 328.514 -313.297
455000 333.25 -312.833
456000 332.895 -313.769
457000 334.978 -315.939
458000 332.753 -319.307
459000 334.125 -319.731
460000 336.315 -321.108
461000 336.21 -320.548
462000 336.948 -324.358
463000 339.234 -321.322
464000 337.522 -321.946
465000 338.536 -323.386
466000 340.676 -323.179
467000 340.537 -324.503
468000 340.421 -324.984
469000 339.81 -325.969
470000 340.933 -326.373
471000 343.163 -328.694
472000 344.37 -328.079
473000 345.381 -326.102
474000 349.262 -326.673
475000 348.623 -328.719
476000 349.388 -330.954
477000 350.309 -330.966
478000 351.872 -332.577
479000 351.373 -332.596
480000 353.325 -334.643
481000 354.762 -333.817
482000 354.594 -335.288
483000 356.031 -336.41
484000 356.515 -336.62
485000 355.942 -335.441
486000 357.501 -337.944
