# Time-averaged data for fix 4
# TimeStep f_cold f_hot
1000 -1.20313 -3.52433
2000 -0.89799 -2.93037
3000 -0.66631 -4.84722
4000 -0.233854 -6.09394
5000 0.0255 -6.22563
6000 1.04817 -8.1806
7000 0.515777 -9.59643
8000 1.36736 -9.79558
9000 2.3335 -10.5972
10000 3.87087 -12.4742
11000 7.45867 -12.3647
12000 6.94484 -15.8309
13000 6.76969 -15.486
14000 8.02699 -18.0067
15000 7.79843 -17.9218
16000 8.63478 -20.7725
17000 9.42059 -20.216
18000 9.55689 -21.2385
19000 12.3385 -23.0236
20000 11.8318 -22.0826
21000 11.2385 -24.0815
22000 11.95 -21.5133
23000 11.6033 -22.6599
24000 13.1009 -24.682
25000 15.7164 -26.4769
26000 17.9515 -27.9285
27000 15.7481 -26.7279
28000 17.4828 -25.8018
29000 17.7851 -25.8068
30000 18.4944 -25.846
31000 19.4724 -25.2017
32000 20.0587 -28.2239
33000 21.2949 -29.3189
34000 21.1509 -29.6726
35000 21.9037 -32.9787
36000 20.9944 -32.1489
37000 22.3306 -31.6834
38000 22.6611 -32.1918
39000 23.5955 -34.2807
40000 25.0646 -36.5493
41000 25.4804 -39.1413
42000 25.9167 -40.2584
43000 24.8598 -42.2242
44000 26.3936 -42.2107
45000 28.2568 -43.6497
46000 29.9322 -43.4891
47000 27.5152 -43.0693
48000 31.0572 -44.5909
49000 31.9153 -43.2335
50000 32.3267 -45.9883
51000 31.0433 -48.6405
52000 33.7877 -48.532
53000 32.6667 -50.3386
54000 34.9388 -49.6389
55000 31.9424 -50.7442
56000 32.805 -50.9341
57000 33.283 -52.6239
58000 35.5352 -52.6148
59000 36.663 -54.1577
60000 37.2457 -55.7842
61000 37.6403 -55.4094
62000 40.1661 -56.0285
63000 41.5605 -55.883
64000 40.4094 -54.8279
65000 41.4702 -55.0732
66000 42.2531 -56.8287
67000 40.9923 -56.7615
68000 41.7159 -58.0746
69000 40.966 -60.295
70000 39.9114 -60.7214
71000 40.3548 -64.4478
72000 41.0407 -67.5585
73000 42.1568 -67.0905
74000 43.3569 -67.1575
75000 43.4495 -66.7894
76000 44.5495 -70.711
77000 47.9339 -68.1637
78000 48.1595 -69.5797
79000 46.7422 -68.0868
80000 48.4726 -67.3753
81000 48.9256 -70.789
82000 49.6412 -69.9244
83000 49.9759 -72.3991
84000 51.2319 -71.4473
85000 51.619 -72.6131
86000 54.2975 -74.7509
87000 55.0384 -73.0768
88000 57.1785 -71.9078
89000 57.876 -73.1937
90000 57.5867 -73.5382
91000 59.6685 -72.1269
92000 59.516 -72.0481
93000 59.9521 -71.3218
94000 59.7248 -71.908
95000 62.9232 -73.6365
96000 61.5092 -75.0559
97000 64.0397 -75.7285
98000 62.7354 -76.0476
99000 63.3892 -78.5165
100000 63.2002 -75.5674
101000 64.0162 -77.5356
102000 63.5932 -79.8321
103000 66.1208 -79.1804
104000 65.9034 -80.0182
105000 67.3751 -81.6212
106000 68.1816 -82.2124
107000 70.7291 -81.6258
108000 72.4132 -81.8263
109000 72.5848 -83.5395
110000 72.535 -82.7788
111000 75.5457 -83.3698
112000 75.7206 -86.1016
113000 76.6202 -85.6411
114000 77.0661 -86.5853
115000 78.6502 -88.0009
116000 76.0086 -88.1739
117000 79.2437 -89.3199
118000 80.5157 -88.1061
119000 81.0429 -90.5289
120000 80.1171 -91.568
121000 82.7229 -91.3836
122000 83.6868 -91.4345
123000 84.077 -92.5597
124000 85.6389 -94.9736
125000 86.3231 -94.7772
126000 87.4289 -94.1941
127000 88.1497 -95.4261
128000 89.8013 -98.2722
129000 89.6572 -95.4162
130000 91.2253 -94.3545
131000 91.2887 -97.778
132000 91.5897 -97.7193
133000 93.7608 -99.2947
134000 93.038 -99.2782
135000 93.42 -100.224
136000 95.5777 -98.7191
137000 95.9032 -101.364
138000 95.9935 -103.074
139000 99.2902 -104.179
140000 101.599 -103.529
141000 102.377 -104.613
142000 102.07 -105.332
143000 101.436 -103.712
144000 102.227 -103.433
145000 104.954 -105.161
146000 106.657 -107.984
147000 107.793 -108.077
148000 108.619 -110.636
149000 110.126 -109.179
150000 111.426 -110.281
151000 110.617 -112.985
152000 111.319 -116.847
153000 111.434 -114.067
154000 113.243 -114.959
155000 112.584 -115.699
156000 111.94 -117.941
157000 114.201 -119.853
158000 115.245 -119.494
159000 116.932 -121.159
160000 116.283 -121.92
161000 115.943 -123.174
162000 116.642 -121.54
163000 119.178 -123.806
164000 119.257 -125.918
165000 118.463 -125.22
166000 120.092 -125.812
167000 120.922 -127.208
168000 121.773 -127.775
169000 124.722 -129.054
170000 125.539 -129.602
171000 125.152 -129.809
172000 125.107 -130.497
173000 126.208 -130.896
174000 126.71 -133.516
175000 127.941 -133.918
176000 127.95 -134.409
177000 128.874 -134.517
178000 130.089 -134.499
179000 133.101 -137.039
180000 130.585 -135.22
181000 132.434 -134.984
182000 133.015 -136.756
183000 134.124 -137.026
184000 131.418 -138.039
185000 131.507 -138.517
186000 133.591 -139.468
187000 135.717 -139.42
188000 137.579 -139.334
189000 137.573 -142.015
190000 136.857 -143.023
191000 137.73 -142.315
192000 139.061 -144.397
193000 139.27 -146.991
194000 139.756 -145.048
195000 140.531 -148.278
196000 142.723 -148.689
197000 144.266 -150.033
198000 146.246 -150.843
199000 146.311 -149.993
200000 147.502 -151.937
201000 147.745 -153.189
202000 150.022 -154.393
203000 150.135 -153.928
204000 151.343 -151.986
205000 152.645 -154.358
206000 155.467 -154.266
207000 157.626 -154.705
208000 156.421 -155.573
209000 158.144 -156.732
210000 157.681 -158.429
211000 157.681 -160.734
212000 156.55 -159.341
213000 159.122 -160.054
214000 160.77 -160.407
215000 161.532 -161.128
216000 161.706 -161.421
217000 161.168 -163.905
218000 161.838 -163.537
219000 163.811 -165.165
220000 165.498 -167.674
221000 165.254 -168.5
222000 168.683 -169.84
223000 168.863 -171.863
224000 169.636 -172.983
225000 171.36 -172.963
226000 171.84 -174.877
227000 173.426 -175.285
228000 174.772 -176.694
229000 173.898 -174.751
230000 175.444 -175.958
231000 176.916 -180.148
232000 178.162 -180.438
233000 177.628 -181.794
234000 177.533 -180.009
235000 177.871 -179.623
236000 179.274 -179.771
237000 177.883 -180.69
238000 177.151 -182.554
239000 178.321 -185.084
240000 181.677 -186.194
241000 183.18 -185.659
242000 183.429 -186.108
243000 182.491 -187.119
244000 183.179 -187.711
245000 183.807 -189.492
246000 185.474 -187.959
247000 186.84 -188.876
248000 186.023 -191.82
249000 188.655 -191.665
250000 189.691 -193.066
251000 189.561 -193.957
252000 191.946 -193.919
253000 192.723 -196.048
254000 194.006 -198.073
255000 195.586 -199.772
256000 194.704 -200.591
257000 194.418 -200.452
258000 195.277 -200.425
259000 195.88 -199.511
260000 196.175 -202.099
261000 195.865 -202.029
262000 196.577 -202.647
263000 197.508 -204.01
264000 198.187 -204.429
265000 195.939 -202.8
266000 196.92 -205.767
267000 199.679 -206.629
268000 199.348 -207.661
269000 199.818 -209.821
270000 200.527 -210.028
271000 201.142 -209.435
272000 200.522 -208.285
273000 201.87 -209.242
274000 201.76 -208.957
275000 205.319 -209.397
276000 204.104 -208.757
277000 204.838 -208.102
278000 207.895 -210.114
279000 206.281 -210.621
280000 207.613 -209.182
281000 207.183 -210.987
282000 207.851 -209.445
283000 207.295 -211.804
284000 208.547 -211.867
285000 209.966 -211.337
286000 211.14 -214.135
287000 212.134 -213.221
288000 213.531 -213.87
289000 214.672 -216.097
290000 215.172 -216
291000 214.84 -214.96
292000 214.291 -213.76
293000 215.273 -214.958
294000 215.885 -215.076
295000 216.596 -213.773
296000 218.126 -215.987
297000 220.933 -217.828
298000 220.519 -218.236
299000 219.268 -219.737
300000 221.69 -221.213
301000 220.603 -223.949
302000 220.382 -224.064
303000 220.056 -225.384
304000 221.998 -226.032
305000 222.553 -227.681
306000 224.634 -227.666
307000 224.892 -228.074
308000 224.695 -230.497
309000 227.888 -231.708
310000 227.99 -234.608
311000 229.625 -233.939
312000 231.175 -234.547
313000 231.643 -236.592
314000 233.864 -237.719
315000 234.518 -238.679
316000 236.879 -238.92
317000 236.77 -238.621
318000 236.304 -238.382
319000 240.471 -244.263
320000 239.777 -243.383
321000 240.019 -244.481
322000 240.449 -243.779
323000 241.88 -244.939
324000 241.928 -246.208
325000 242.482 -244.627
326000 240.591 -245.812
327000 241.573 -247.03
328000 241.523 -246.183
329000 239.763 -248.077
330000 241.231 -249.686
331000 242.497 -249.736
332000 243.236 -249.672
333000 243.001 -249.631
334000 245.212 -249.497
335000 245.168 -252.706
336000 246.486 -252.155
337000 243.994 -253.175
338000 244.147 -252.862
339000 244.832 -253.177
340000 245.305 -251.658
341000 244.863 -255.06
342000 248.901 -255.124
343000 249.019 -255.854
344000 248.187 -255.463
345000 247.593 -256.953
346000 247.953 -257.71
347000 249.875 -256.035
348000 248.461 -257.887
349000 250.558 -257.086
350000 250.801 -257.8
351000 250.57 -260.725
352000 249.919 -260.724
353000 251.397 -261.189
354000 251.968 -262.7
355000 251.416 -260.958
356000 253.095 -261.226
357000 253.769 -262.902
358000 254.46 -264.483
359000 253.52 -264.93
360000 253.888 -263.572
361000 254.892 -265.37
362000 256.811 -266.256
363000 255.419 -266.873
364000 257.835 -268.692
365000 257.511 -270.312
366000 260.185 -271.116
367000 259.947 -271.738
368000 262.456 -273.189
369000 265.274 -273.816
370000 265.545 -274.475
371000 266.296 -278.34
372000 265.794 -275.482
373000 266.998 -277.299
374000 268.433 -277.914
375000 267.793 -278.791
376000 268.304 -277.921
377000 269.425 -280.637
378000 268.713 -280.138
379000 269.185 -281.377
380000 271.986 -279.755
381000 271.266 -281.996
382000 272.275 -282.471
383000 273.52 -285.742
384000 273.41 -285.821
385000 274.803 -286.576
386000 274.352 -286.531
387000 275.613 -288.7
388000 276.693 -286.078
389000 276.634 -287.534
390000 274.667 -284.783
391000 276.08 -288.629
392000 276.938 -288.867
393000 277.593 -287.933
394000 278.096 -288.628
395000 279.423 -289.929
396000 282.449 -288.465
397000 283.327 -286.359
398000 281.269 -287.621
399000 282.429 -288.962
400000 282.92 -289.837
401000 284.222 -290.745
402000 283.882 -291.153
403000 283.733 -291.939
404000 283.733 -293.493
405000 284.542 -292.935
406000 285.992 -291.963
407000 286.572 -291.691
408000 286.271 -293.421
409000 284.703 -295.985
410000 287.07 -294.846
411000 286.41 -297.946
412000 286.765 -298.907
413000 289.739 -301.655
414000 289.456 -301.325
415000 290.618 -299.328
416000 290.913 -299.234
417000 291.208 -301.293
418000 291.2 -303.582
419000 294.054 -301.466
420000 293.349 -303.761
421000 294.716 -300.33
422000 297.341 -303.483
423000 295.944 -305.358
424000 297.969 -306.754
425000 296.317 -306.708
426000 297.107 -308.444
427000 298.721 -307.882
428000 303.186 -309.06
429000 301.85 -309.896
430000 299.886 -311.764
431000 301.53 -312.011
432000 302.641 -309.278
433000 303.627 -312.631
434000 306.932 -311.301
435000 308.031 -312.378
436000 307.04 -313.401
437000 309.359 -314.921
438000 310.915 -315.278
439000 311.064 -316.795
440000 312.543 -317.359
441000 315.105 -318.024
442000 314.931 -319.8
443000 313.025 -321.321
444000 315.405 -322.26
445000 314.375 -324.467
446000 316.386 -325.892
447000 319.089 -323.487
448000 320.1 -324.924
449000 318.95 -327.618
450000 321.68 -327.936
451000 322.383 -330.49
452000 321.538 -332.089
453000 323.083 -333.277
454000 325.946 -335.652
455000 324.753 -336.012
456000 324.784 -337.242
457000 325.087 -337.649
458000 329.086 -336.954
459000 329.911 -337.706
460000 329.842 -340.52
461000 333.165 -341.224
462000 334.812 -339.709
463000 335.013 -342.667
464000 335.188 -344.909
465000 335.768 -344.803
466000 335.434 -345.43
467000 335.735 -346.565
468000 337.29 -348.472
469000 338.611 -347.885
470000 339.217 -347.795
471000 338.286 -348.162
472000 340.671 -349.222
473000 339.731 -349.797
474000 341.829 -351.053
475000 344.478 -350.208
476000 345.215 -353.226
477000 343.684 -352.866
478000 346.589 -351.719
479000 347.381 -353.123
480000 346.987 -352.969
481000 347.065 -353.909
482000 350.585 -354.63
483000 350.294 -354.234
484000 351.887 -358.718
485000 351.329 -359.855
486000 353.613 -358.007
487000 353.161 -359.91
488000 356.348 -359.508
489000 357.883 -359.907
490000 359.151 -360.48
491000 357.243 -361.575
492000 359.919 -361.956
493000 359.967 -362.848
494000 361.17 -363.929
495000 359.513 -364.119
496000 361.886 -364.901
497000 362.778 -366.486
498000 363.497 -367.095
499000 363.445 -364.992
500000 362.044 -366.25
501000 362.443 -365.421
502000 362.694 -367.282
503000 363.531 -368.115
504000 363.845 -371.6
505000 363.806 -372.35
506000 366.091 -372.032
507000 367.446 -372.86
508000 368.34 -373.802
509000 370.341 -375.215
510000 370.034 -374.107
511000 370.565 -376.272
512000 370.824 -378.739
513000 373.898 -379.599
514000 374.993 -379.329
515000 374.031 -382.497
516000 375.165 -384.266
517000 375.83 -386.193
518000 375.635 -385.818
519000 374.817 -386.863
520000 376.235 -386.994
521000 378.45 -389.959
522000 379.508 -388.968
523000 379.114 -389.945
524000 378.754 -389.623
525000 376.154 -390.576
526000 378.911 -389.887
527000 381.126 -390.503
528000 380.753 -388.734
529000 381.548 -391.331
530000 382.486 -391.887
531000 384.721 -395.323
532000 385.518 -394.747
533000 385.79 -396.683
534000 386.726 -397.712
535000 387.878 -398.286
536000 390.686 -399.418
537000 390.422 -397.922
538000 393.766 -398.401
539000 393.897 -398.074
540000 394.319 -399.686
541000 394.866 -402.619
542000 393.743 -401.51
543000 396.276 -405.949
544000 396.089 -406.297
545000 396.736 -406.155
546000 397.357 -409.61
547000 397.92 -411.361
548000 397.228 -411.088
549000 398.741 -411.811
550000 398.437 -413.539
551000 401.053 -413.68
552000 401.612 -415.395
553000 403.056 -417.478
554000 404.88 -418.756
555000 405.405 -417.89
556000 407.536 -421.138
557000 406.824 -417.948
558000 407.363 -420.048
559000 407.776 -420.338
560000 410.821 -422.887
561000 411.178 -422.359
562000 412.577 -421.836
563000 414.956 -424.651
564000 415.254 -426.315
565000 418.276 -425.246
566000 418.79 -426.35
567000 421.026 -426.939
568000 422.965 -428.768
569000 423.472 -428.313
570000 424.874 -428.212
571000 426.759 -428.997
572000 425.8 -430.19
573000 426.933 -430.217
574000 427.927 -432.385
575000 428.591 -433.662
576000 426.79 -432.754
577000 429.397 -435.257
578000 431.016 -437.504
579000 432.887 -438.085
580000 432.685 -437.509
581000 434.755 -439.263
582000 436.634 -438.584
583000 436.799 -439.467
584000 437.057 -440.006
585000 434.974 -440.477
586000 438.987 -440.871
587000 438.798 -441.859
588000 440.846 -442.944
589000 441.738 -443.182
590000 441.463 -442.664
591000 442.522 -443.378
592000 443.242 -445.82
593000 443.973 -445.726
594000 444.454 -446.344
595000 445.065 -447.158
596000 446.869 -448.39
597000 448.06 -448.301
598000 449.88 -452.725
599000 448.944 -452.556
600000 450.712 -452.947
601000 449.295 -451.995
602000 450.678 -454.141
603000 450.625 -455.676
604000 452.254 -453.964
605000 455.554 -454.508
606000 454.791 -455.853
607000 455.78 -455.673
608000 454.976 -458.705
609000 455.248 -457.523
610000 457.883 -459.978
611000 457.04 -461.51
612000 459.174 -463.716
613000 461.621 -466.1
614000 464.054 -467.188
615000 463.831 -467.052
